"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","X_24","X_25","X_26","X_27","X_28","X_29","X_30","X_31","X_32","X_33","X_34","X_35","X_36","X_37","X_38","X_39","X_40","X_41","X_42","X_43","X_44","X_45","X_46","X_47","X_48","X_49","X_50","X_51","X_52","X_53","X_54","X_55","X_56","X_57","X_58","X_59","X_60","X_61","X_62","X_63","X_64","X_65","X_66","X_67","X_68","X_69","X_70","X_71","X_72","X_73","X_74","X_75","X_76","X_77","X_78","X_79","X_80","X_81","X_82","X_83","X_84","X_85","X_86","X_87","X_88","X_89","X_90","X_91","X_92","X_93","X_94","X_95","X_96","X_97","X_98","X_99","target"
4.0,9.0,7.0,0.0,3.0,5.0,2.0,5.0,3.0,4.0,6.0,5.0,1.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,1.0,6.0,6.0,4.0,6.0,6.0,9.0,0.0,7.0,3.0,8.0,7.0,5.0,1.0,7.0,6.0,5.0,4.0,6.0,8.0,0.0,8.0,5.0,8.0,4.0,5.0,1.0,2.0,1.0,5.0,2.0,7.0,4.0,9.0,5.0,4.0,2.0,7.0,5.0,2.0,5.0,8.0,4.0,4.0,6.0,1.0,4.0,4.0,8.0,0.0,3.0,5.0,7.0,1.0,2.0,4.0,3.0,3.0,6.0,8.0,0.0,6.0,5.0,6.0,2.0,0.0,0.0,8.0,9.0,0.0,7.0,4.0,2.0,5.0,6.0,5.0,6.0,0.0,5.0,1.0,-16.992528312684968
9.0,7.0,5.0,6.0,3.0,8.0,5.0,4.0,7.0,7.0,2.0,6.0,9.0,5.0,9.0,4.0,0.0,6.0,1.0,7.0,4.0,7.0,6.0,8.0,0.0,7.0,3.0,6.0,8.0,1.0,5.0,0.0,9.0,5.0,8.0,1.0,9.0,5.0,4.0,1.0,8.0,1.0,1.0,5.0,1.0,4.0,9.0,4.0,4.0,6.0,0.0,5.0,8.0,8.0,1.0,6.0,8.0,3.0,4.0,6.0,5.0,3.0,7.0,5.0,5.0,2.0,9.0,9.0,3.0,6.0,8.0,0.0,1.0,1.0,7.0,5.0,3.0,7.0,4.0,5.0,3.0,8.0,3.0,9.0,1.0,6.0,7.0,1.0,0.0,7.0,8.0,8.0,4.0,9.0,1.0,3.0,8.0,6.0,1.0,4.0,366.63297522397653
5.0,5.0,2.0,8.0,5.0,3.0,1.0,8.0,1.0,2.0,3.0,9.0,4.0,8.0,8.0,7.0,8.0,5.0,2.0,6.0,1.0,2.0,7.0,7.0,4.0,2.0,0.0,3.0,8.0,3.0,8.0,6.0,7.0,4.0,7.0,2.0,2.0,7.0,4.0,8.0,7.0,2.0,5.0,1.0,1.0,0.0,6.0,8.0,5.0,5.0,6.0,9.0,9.0,5.0,0.0,9.0,3.0,3.0,4.0,5.0,6.0,0.0,0.0,7.0,3.0,3.0,4.0,8.0,7.0,9.0,8.0,3.0,4.0,2.0,2.0,6.0,4.0,0.0,0.0,8.0,5.0,4.0,1.0,3.0,0.0,2.0,1.0,0.0,7.0,5.0,1.0,1.0,7.0,5.0,8.0,8.0,9.0,5.0,5.0,6.0,42.75167457814059
9.0,1.0,3.0,9.0,9.0,7.0,4.0,8.0,6.0,1.0,9.0,1.0,7.0,9.0,2.0,10.0,3.0,0.0,4.0,2.0,0.0,7.0,2.0,1.0,2.0,3.0,3.0,5.0,6.0,5.0,4.0,6.0,4.0,5.0,0.0,5.0,7.0,7.0,9.0,3.0,5.0,4.0,2.0,6.0,0.0,0.0,8.0,5.0,8.0,3.0,3.0,1.0,0.0,3.0,8.0,0.0,1.0,7.0,1.0,5.0,1.0,7.0,7.0,2.0,2.0,3.0,6.0,3.0,6.0,4.0,6.0,6.0,0.0,0.0,5.0,7.0,9.0,4.0,7.0,8.0,8.0,4.0,1.0,0.0,7.0,0.0,3.0,9.0,1.0,1.0,7.0,7.0,1.0,0.0,9.0,8.0,5.0,6.0,4.0,3.0,106.77189329286392
6.0,2.0,3.0,3.0,5.0,7.0,3.0,4.0,8.0,2.0,2.0,6.0,1.0,1.0,4.0,9.0,1.0,6.0,5.0,0.0,7.0,8.0,6.0,2.0,3.0,6.0,4.0,4.0,7.0,7.0,6.0,3.0,4.0,1.0,6.0,2.0,8.0,1.0,2.0,5.0,1.0,0.0,8.0,8.0,4.0,2.0,2.0,8.0,1.0,6.0,4.0,1.0,8.0,8.0,2.0,3.0,7.0,4.0,1.0,8.0,7.0,8.0,0.0,6.0,2.0,4.0,5.0,5.0,2.0,9.0,0.0,2.0,1.0,3.0,9.0,8.0,8.0,3.0,4.0,6.0,7.0,8.0,6.0,5.0,7.0,9.0,6.0,9.0,2.0,8.0,4.0,8.0,3.0,3.0,9.0,2.0,5.0,4.0,8.0,2.0,42.20525300761389
8.0,9.0,1.0,2.0,5.0,1.0,1.0,8.0,7.0,7.0,4.0,1.0,5.0,3.0,4.0,2.0,0.0,4.0,8.0,9.0,9.0,4.0,1.0,5.0,6.0,5.0,6.0,2.0,7.0,9.0,4.0,9.0,5.0,5.0,3.0,6.0,3.0,5.0,0.0,1.0,6.0,2.0,2.0,9.0,6.0,8.0,0.0,4.0,8.0,7.0,3.0,5.0,7.0,2.0,5.0,1.0,5.0,1.0,4.0,4.0,2.0,4.0,9.0,6.0,3.0,2.0,8.0,3.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,7.0,5.0,5.0,3.0,1.0,7.0,1.0,2.0,3.0,4.0,6.0,8.0,1.0,2.0,6.0,3.0,9.0,8.0,2.0,6.0,0.0,9.0,2.0,3.0,6.0,-236.4057307860675
3.0,8.0,2.0,2.0,6.0,8.0,6.0,1.0,7.0,6.0,5.0,0.0,4.0,1.0,6.0,2.0,3.0,1.0,4.0,3.0,7.0,5.0,2.0,5.0,8.0,9.0,6.0,4.0,9.0,3.0,1.0,2.0,5.0,1.0,7.0,9.0,0.0,5.0,7.0,7.0,5.0,6.0,2.0,0.0,0.0,4.0,4.0,1.0,5.0,1.0,1.0,3.0,9.0,0.0,2.0,1.0,2.0,4.0,6.0,8.0,5.0,7.0,0.0,7.0,3.0,1.0,2.0,3.0,9.0,2.0,3.0,1.0,7.0,4.0,2.0,8.0,3.0,3.0,9.0,3.0,3.0,2.0,3.0,5.0,6.0,2.0,5.0,2.0,4.0,3.0,0.0,4.0,1.0,6.0,9.0,0.0,9.0,0.0,7.0,1.0,-260.1743400297247
1.0,5.0,7.0,0.0,7.0,8.0,0.0,9.0,2.0,1.0,5.0,1.0,4.0,3.0,4.0,7.0,8.0,4.0,2.0,7.0,1.0,3.0,4.0,5.0,4.0,1.0,8.0,8.0,3.0,1.0,5.0,2.0,0.0,2.0,4.0,1.0,5.0,1.0,9.0,7.0,9.0,4.0,4.0,8.0,8.0,6.0,6.0,7.0,6.0,8.0,2.0,2.0,6.0,1.0,4.0,4.0,5.0,8.0,4.0,8.0,8.0,2.0,1.0,5.0,1.0,6.0,4.0,3.0,6.0,8.0,5.0,4.0,7.0,6.0,1.0,1.0,4.0,9.0,8.0,8.0,0.0,5.0,9.0,2.0,7.0,3.0,2.0,7.0,5.0,8.0,1.0,9.0,8.0,4.0,3.0,5.0,5.0,5.0,8.0,1.0,51.030174813717665
0.0,5.0,7.0,6.0,5.0,4.0,6.0,2.0,1.0,8.0,4.0,2.0,6.0,7.0,3.0,8.0,7.0,1.0,9.0,6.0,9.0,2.0,4.0,3.0,3.0,2.0,0.0,6.0,5.0,6.0,5.0,1.0,7.0,8.0,1.0,3.0,6.0,5.0,7.0,3.0,4.0,1.0,2.0,4.0,5.0,1.0,5.0,6.0,4.0,9.0,6.0,8.0,4.0,1.0,1.0,4.0,6.0,7.0,0.0,7.0,5.0,5.0,4.0,9.0,4.0,9.0,2.0,9.0,7.0,5.0,6.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,4.0,3.0,3.0,5.0,5.0,1.0,1.0,4.0,5.0,8.0,6.0,0.0,1.0,1.0,8.0,5.0,8.0,7.0,0.0,8.0,5.0,2.0,90.42171786031324
5.0,1.0,0.0,9.0,5.0,0.0,1.0,5.0,8.0,4.0,0.0,3.0,5.0,9.0,2.0,8.0,7.0,8.0,1.0,4.0,4.0,7.0,6.0,3.0,8.0,7.0,8.0,1.0,7.0,2.0,3.0,4.0,6.0,1.0,5.0,0.0,9.0,4.0,1.0,3.0,2.0,0.0,4.0,1.0,1.0,1.0,7.0,7.0,1.0,2.0,2.0,6.0,9.0,9.0,5.0,1.0,2.0,9.0,7.0,7.0,8.0,8.0,9.0,3.0,6.0,9.0,0.0,2.0,5.0,3.0,3.0,7.0,8.0,2.0,5.0,6.0,8.0,3.0,5.0,0.0,5.0,5.0,5.0,5.0,1.0,5.0,7.0,1.0,1.0,5.0,2.0,0.0,3.0,3.0,2.0,3.0,7.0,8.0,6.0,7.0,128.96132731546936
2.0,2.0,2.0,2.0,7.0,3.0,1.0,8.0,6.0,9.0,1.0,0.0,8.0,1.0,5.0,1.0,1.0,4.0,6.0,7.0,8.0,5.0,8.0,5.0,0.0,0.0,5.0,7.0,0.0,2.0,6.0,7.0,4.0,8.0,2.0,8.0,7.0,0.0,5.0,6.0,0.0,1.0,7.0,7.0,4.0,9.0,8.0,6.0,1.0,0.0,2.0,5.0,6.0,5.0,0.0,6.0,9.0,2.0,6.0,8.0,5.0,4.0,3.0,5.0,4.0,4.0,1.0,5.0,5.0,6.0,8.0,3.0,5.0,2.0,9.0,3.0,0.0,4.0,9.0,2.0,1.0,0.0,1.0,9.0,8.0,9.0,6.0,9.0,2.0,2.0,2.0,4.0,9.0,5.0,0.0,7.0,2.0,4.0,7.0,4.0,217.13389751211565
2.0,7.0,6.0,5.0,2.0,6.0,6.0,7.0,2.0,9.0,9.0,8.0,6.0,7.0,1.0,8.0,3.0,2.0,1.0,4.0,5.0,6.0,8.0,7.0,7.0,7.0,8.0,7.0,5.0,4.0,5.0,2.0,0.0,7.0,5.0,1.0,4.0,6.0,8.0,5.0,3.0,5.0,0.0,8.0,3.0,6.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,8.0,4.0,1.0,2.0,7.0,5.0,8.0,9.0,5.0,9.0,1.0,2.0,3.0,8.0,2.0,3.0,4.0,1.0,3.0,1.0,4.0,1.0,5.0,4.0,5.0,5.0,2.0,8.0,9.0,7.0,2.0,8.0,1.0,8.0,7.0,9.0,1.0,3.0,7.0,1.0,9.0,1.0,-123.67941883764752
6.0,0.0,8.0,4.0,4.0,7.0,6.0,6.0,3.0,9.0,6.0,5.0,1.0,8.0,6.0,7.0,5.0,1.0,8.0,0.0,3.0,4.0,6.0,3.0,3.0,0.0,3.0,7.0,9.0,0.0,8.0,0.0,1.0,1.0,8.0,9.0,6.0,5.0,5.0,7.0,2.0,8.0,5.0,3.0,6.0,9.0,2.0,8.0,7.0,5.0,5.0,9.0,8.0,9.0,2.0,8.0,5.0,1.0,9.0,8.0,7.0,6.0,6.0,9.0,7.0,1.0,5.0,1.0,6.0,1.0,5.0,6.0,6.0,7.0,4.0,8.0,6.0,4.0,7.0,9.0,2.0,8.0,4.0,5.0,5.0,6.0,2.0,0.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,7.0,8.0,32.22457825759204
3.0,5.0,7.0,3.0,6.0,6.0,4.0,1.0,8.0,3.0,4.0,5.0,6.0,8.0,1.0,8.0,0.0,2.0,9.0,6.0,6.0,1.0,8.0,6.0,5.0,2.0,2.0,6.0,1.0,8.0,5.0,4.0,6.0,4.0,5.0,7.0,2.0,2.0,8.0,2.0,9.0,9.0,0.0,0.0,5.0,8.0,3.0,1.0,6.0,7.0,7.0,0.0,9.0,1.0,3.0,8.0,0.0,2.0,0.0,2.0,8.0,8.0,2.0,8.0,4.0,1.0,5.0,5.0,2.0,7.0,5.0,7.0,1.0,7.0,8.0,7.0,1.0,1.0,3.0,9.0,7.0,5.0,7.0,3.0,7.0,2.0,3.0,8.0,3.0,5.0,4.0,6.0,7.0,0.0,4.0,2.0,3.0,6.0,1.0,8.0,-116.39064521825789
8.0,5.0,7.0,5.0,7.0,0.0,3.0,4.0,1.0,7.0,1.0,1.0,9.0,4.0,4.0,0.0,0.0,2.0,5.0,1.0,0.0,9.0,6.0,4.0,9.0,6.0,8.0,2.0,7.0,3.0,2.0,4.0,2.0,8.0,6.0,3.0,5.0,5.0,5.0,4.0,7.0,3.0,7.0,2.0,4.0,1.0,3.0,1.0,6.0,4.0,6.0,9.0,3.0,3.0,2.0,1.0,1.0,8.0,4.0,1.0,2.0,8.0,2.0,8.0,6.0,3.0,4.0,2.0,9.0,8.0,6.0,7.0,2.0,4.0,2.0,7.0,9.0,4.0,5.0,8.0,5.0,9.0,7.0,8.0,3.0,5.0,1.0,7.0,9.0,0.0,2.0,4.0,8.0,8.0,6.0,7.0,3.0,9.0,1.0,5.0,-116.10762972618281
0.0,5.0,4.0,6.0,7.0,2.0,8.0,8.0,9.0,6.0,7.0,1.0,7.0,9.0,2.0,6.0,3.0,3.0,8.0,2.0,2.0,1.0,3.0,5.0,9.0,7.0,3.0,8.0,2.0,6.0,1.0,8.0,4.0,5.0,3.0,8.0,1.0,2.0,2.0,3.0,1.0,9.0,5.0,1.0,2.0,5.0,9.0,8.0,3.0,7.0,2.0,6.0,6.0,0.0,2.0,6.0,0.0,2.0,2.0,8.0,6.0,8.0,7.0,7.0,3.0,1.0,4.0,2.0,5.0,2.0,3.0,1.0,9.0,5.0,5.0,5.0,3.0,0.0,0.0,7.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,3.0,6.0,6.0,3.0,9.0,3.0,1.0,7.0,8.0,0.0,0.0,7.0,2.0,-76.25466526310237
4.0,4.0,7.0,0.0,9.0,7.0,3.0,1.0,8.0,2.0,2.0,6.0,8.0,9.0,0.0,2.0,5.0,8.0,8.0,2.0,1.0,5.0,7.0,9.0,0.0,9.0,6.0,0.0,7.0,0.0,6.0,3.0,1.0,4.0,8.0,3.0,7.0,6.0,3.0,6.0,6.0,6.0,1.0,3.0,5.0,8.0,2.0,9.0,6.0,4.0,4.0,1.0,6.0,7.0,7.0,0.0,0.0,1.0,0.0,9.0,9.0,3.0,9.0,5.0,8.0,7.0,7.0,1.0,1.0,4.0,3.0,8.0,6.0,8.0,5.0,2.0,3.0,5.0,6.0,9.0,8.0,2.0,5.0,6.0,6.0,1.0,7.0,1.0,0.0,8.0,0.0,8.0,6.0,8.0,5.0,4.0,4.0,5.0,2.0,1.0,52.14804205407677
8.0,1.0,8.0,7.0,1.0,8.0,3.0,2.0,1.0,7.0,7.0,7.0,3.0,2.0,3.0,5.0,1.0,6.0,5.0,3.0,5.0,1.0,2.0,5.0,0.0,2.0,2.0,9.0,3.0,5.0,3.0,5.0,6.0,6.0,7.0,4.0,9.0,5.0,7.0,1.0,3.0,8.0,8.0,4.0,5.0,8.0,7.0,1.0,4.0,3.0,6.0,7.0,5.0,1.0,1.0,5.0,4.0,0.0,2.0,3.0,1.0,6.0,3.0,1.0,8.0,8.0,9.0,6.0,3.0,9.0,0.0,9.0,7.0,3.0,9.0,3.0,7.0,9.0,6.0,2.0,3.0,6.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,6.0,5.0,5.0,9.0,0.0,2.0,5.0,4.0,9.0,5.0,4.0,231.72052531282026
5.0,7.0,4.0,2.0,6.0,1.0,2.0,9.0,9.0,7.0,9.0,6.0,1.0,3.0,1.0,4.0,5.0,6.0,3.0,4.0,2.0,2.0,3.0,8.0,6.0,8.0,4.0,6.0,1.0,3.0,0.0,3.0,8.0,2.0,1.0,6.0,4.0,1.0,7.0,0.0,5.0,3.0,8.0,2.0,6.0,6.0,8.0,4.0,3.0,7.0,3.0,6.0,2.0,4.0,3.0,9.0,6.0,9.0,8.0,3.0,8.0,0.0,8.0,3.0,2.0,5.0,8.0,6.0,1.0,9.0,2.0,6.0,1.0,2.0,8.0,7.0,1.0,3.0,5.0,5.0,3.0,6.0,5.0,9.0,5.0,9.0,3.0,4.0,1.0,2.0,5.0,6.0,1.0,8.0,4.0,6.0,2.0,3.0,1.0,5.0,-76.46650095403785
6.0,2.0,3.0,6.0,8.0,3.0,0.0,4.0,7.0,0.0,9.0,8.0,4.0,6.0,9.0,7.0,9.0,2.0,6.0,8.0,5.0,7.0,3.0,4.0,1.0,1.0,2.0,7.0,0.0,6.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,7.0,4.0,0.0,6.0,1.0,2.0,1.0,3.0,5.0,4.0,9.0,6.0,2.0,6.0,4.0,0.0,8.0,8.0,3.0,0.0,4.0,4.0,9.0,5.0,8.0,9.0,4.0,6.0,6.0,2.0,8.0,4.0,6.0,1.0,0.0,9.0,9.0,0.0,4.0,6.0,2.0,1.0,4.0,3.0,8.0,0.0,1.0,6.0,0.0,0.0,5.0,4.0,7.0,2.0,0.0,6.0,9.0,1.0,5.0,9.0,4.0,5.0,5.0,-112.69095992793399
3.0,7.0,7.0,0.0,1.0,2.0,8.0,1.0,0.0,9.0,1.0,0.0,7.0,3.0,6.0,8.0,7.0,2.0,4.0,6.0,2.0,6.0,9.0,1.0,7.0,1.0,5.0,2.0,6.0,2.0,0.0,7.0,8.0,4.0,1.0,1.0,5.0,6.0,7.0,9.0,2.0,7.0,7.0,7.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,9.0,9.0,7.0,5.0,3.0,4.0,5.0,0.0,2.0,1.0,1.0,7.0,9.0,1.0,2.0,2.0,8.0,0.0,7.0,7.0,1.0,5.0,7.0,7.0,3.0,9.0,0.0,9.0,6.0,0.0,6.0,9.0,6.0,9.0,1.0,2.0,2.0,6.0,7.0,4.0,4.0,7.0,4.0,8.0,7.0,1.0,4.0,-76.37591527892803
8.0,0.0,3.0,5.0,0.0,8.0,3.0,7.0,1.0,4.0,5.0,5.0,2.0,3.0,1.0,5.0,4.0,0.0,1.0,0.0,5.0,4.0,6.0,8.0,7.0,6.0,1.0,7.0,0.0,5.0,0.0,1.0,4.0,5.0,7.0,4.0,2.0,3.0,8.0,8.0,8.0,5.0,5.0,6.0,5.0,7.0,6.0,8.0,8.0,2.0,1.0,3.0,7.0,6.0,3.0,4.0,5.0,5.0,1.0,8.0,3.0,5.0,0.0,6.0,7.0,9.0,7.0,2.0,5.0,3.0,7.0,6.0,6.0,7.0,2.0,4.0,5.0,4.0,2.0,4.0,6.0,8.0,0.0,1.0,8.0,7.0,5.0,4.0,8.0,7.0,2.0,0.0,7.0,1.0,7.0,1.0,7.0,7.0,1.0,8.0,-96.87627363834434
1.0,1.0,0.0,5.0,5.0,8.0,7.0,1.0,0.0,3.0,9.0,2.0,1.0,1.0,0.0,8.0,5.0,2.0,1.0,2.0,8.0,1.0,0.0,4.0,6.0,2.0,6.0,2.0,8.0,4.0,3.0,7.0,8.0,4.0,1.0,7.0,1.0,2.0,7.0,9.0,1.0,8.0,3.0,6.0,5.0,3.0,8.0,4.0,1.0,2.0,9.0,8.0,8.0,0.0,8.0,9.0,1.0,3.0,8.0,0.0,2.0,4.0,3.0,2.0,5.0,6.0,4.0,7.0,8.0,6.0,2.0,9.0,9.0,8.0,2.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,3.0,5.0,4.0,5.0,9.0,4.0,4.0,3.0,3.0,0.0,5.0,6.0,3.0,8.0,8.0,0.0,4.0,6.0,-125.34821626685769
8.0,3.0,8.0,2.0,4.0,9.0,9.0,6.0,3.0,0.0,2.0,5.0,0.0,7.0,1.0,2.0,7.0,9.0,6.0,9.0,3.0,4.0,7.0,7.0,1.0,3.0,8.0,7.0,3.0,1.0,4.0,1.0,6.0,7.0,0.0,7.0,5.0,9.0,5.0,9.0,5.0,5.0,1.0,1.0,7.0,9.0,7.0,3.0,3.0,0.0,6.0,1.0,6.0,1.0,8.0,3.0,6.0,7.0,3.0,2.0,2.0,4.0,1.0,0.0,2.0,0.0,4.0,6.0,4.0,8.0,3.0,6.0,5.0,7.0,2.0,3.0,3.0,1.0,5.0,4.0,7.0,2.0,8.0,8.0,7.0,1.0,2.0,8.0,3.0,6.0,1.0,4.0,6.0,0.0,1.0,5.0,7.0,8.0,6.0,5.0,-72.57781647908027
6.0,5.0,9.0,8.0,2.0,1.0,7.0,9.0,5.0,1.0,1.0,1.0,0.0,2.0,6.0,7.0,5.0,2.0,4.0,7.0,6.0,6.0,8.0,3.0,4.0,9.0,5.0,6.0,9.0,0.0,6.0,2.0,1.0,2.0,7.0,7.0,9.0,1.0,7.0,7.0,8.0,8.0,4.0,5.0,2.0,2.0,8.0,4.0,5.0,2.0,3.0,2.0,1.0,5.0,1.0,2.0,2.0,9.0,8.0,4.0,0.0,5.0,0.0,1.0,7.0,8.0,9.0,5.0,8.0,1.0,7.0,4.0,5.0,7.0,8.0,0.0,1.0,2.0,8.0,8.0,1.0,8.0,9.0,6.0,2.0,5.0,3.0,5.0,8.0,6.0,3.0,2.0,3.0,9.0,1.0,3.0,3.0,1.0,4.0,2.0,101.90344707774852
2.0,5.0,1.0,1.0,6.0,8.0,0.0,7.0,6.0,8.0,9.0,1.0,0.0,7.0,6.0,8.0,7.0,4.0,0.0,7.0,1.0,1.0,0.0,8.0,8.0,1.0,0.0,7.0,2.0,3.0,2.0,3.0,3.0,6.0,1.0,2.0,4.0,4.0,0.0,2.0,9.0,4.0,4.0,2.0,5.0,5.0,2.0,8.0,1.0,4.0,8.0,1.0,8.0,0.0,1.0,2.0,8.0,3.0,2.0,6.0,2.0,0.0,0.0,9.0,1.0,6.0,1.0,4.0,5.0,3.0,2.0,8.0,7.0,6.0,1.0,8.0,7.0,5.0,1.0,7.0,4.0,2.0,2.0,7.0,7.0,4.0,3.0,4.0,9.0,4.0,7.0,8.0,7.0,5.0,2.0,6.0,8.0,8.0,0.0,0.0,-138.9688742406358
6.0,4.0,4.0,6.0,1.0,5.0,0.0,5.0,2.0,9.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,6.0,10.0,7.0,5.0,3.0,7.0,8.0,7.0,7.0,7.0,5.0,7.0,9.0,4.0,3.0,3.0,9.0,5.0,5.0,4.0,2.0,8.0,5.0,5.0,6.0,3.0,8.0,1.0,9.0,1.0,5.0,1.0,6.0,4.0,2.0,1.0,7.0,8.0,4.0,6.0,4.0,8.0,9.0,7.0,4.0,4.0,0.0,4.0,7.0,9.0,0.0,0.0,3.0,3.0,4.0,9.0,9.0,7.0,1.0,7.0,3.0,9.0,1.0,1.0,7.0,4.0,8.0,7.0,6.0,3.0,8.0,8.0,4.0,8.0,1.0,9.0,4.0,6.0,8.0,7.0,2.0,0.0,1.0,5.513848011673744
5.0,2.0,7.0,8.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,2.0,5.0,0.0,4.0,9.0,3.0,4.0,5.0,4.0,8.0,1.0,7.0,4.0,4.0,4.0,8.0,7.0,3.0,4.0,5.0,1.0,3.0,8.0,5.0,9.0,0.0,1.0,3.0,0.0,4.0,0.0,6.0,9.0,5.0,1.0,8.0,3.0,4.0,2.0,4.0,0.0,0.0,7.0,7.0,7.0,4.0,4.0,2.0,9.0,5.0,1.0,9.0,8.0,5.0,5.0,7.0,2.0,5.0,9.0,3.0,2.0,0.0,8.0,6.0,1.0,4.0,7.0,1.0,1.0,6.0,4.0,0.0,0.0,9.0,1.0,4.0,0.0,4.0,5.0,5.0,4.0,1.0,5.0,8.0,8.0,4.0,9.0,7.0,-96.80367266925509
4.0,1.0,5.0,0.0,1.0,8.0,8.0,6.0,7.0,1.0,2.0,6.0,1.0,8.0,7.0,3.0,2.0,1.0,4.0,6.0,0.0,6.0,7.0,4.0,2.0,3.0,7.0,3.0,1.0,8.0,2.0,6.0,3.0,5.0,8.0,8.0,4.0,1.0,4.0,1.0,0.0,5.0,0.0,4.0,2.0,3.0,1.0,8.0,9.0,3.0,3.0,3.0,4.0,8.0,4.0,8.0,2.0,5.0,6.0,5.0,6.0,2.0,5.0,0.0,6.0,4.0,2.0,6.0,8.0,5.0,9.0,3.0,6.0,4.0,5.0,6.0,2.0,8.0,9.0,0.0,1.0,9.0,5.0,3.0,6.0,2.0,8.0,3.0,8.0,5.0,3.0,5.0,8.0,2.0,5.0,8.0,2.0,4.0,1.0,9.0,18.40196727313654
7.0,3.0,5.0,1.0,8.0,8.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,6.0,5.0,1.0,3.0,2.0,7.0,0.0,8.0,4.0,5.0,6.0,2.0,7.0,2.0,3.0,0.0,9.0,8.0,1.0,4.0,4.0,4.0,3.0,8.0,0.0,2.0,4.0,9.0,3.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,5.0,3.0,6.0,7.0,1.0,2.0,1.0,9.0,6.0,3.0,7.0,1.0,6.0,3.0,3.0,7.0,7.0,3.0,8.0,4.0,4.0,0.0,2.0,7.0,1.0,7.0,6.0,2.0,4.0,4.0,2.0,8.0,6.0,5.0,4.0,6.0,2.0,2.0,9.0,7.0,4.0,7.0,3.0,5.0,7.0,2.0,5.0,5.0,298.60004481031206
1.0,4.0,6.0,2.0,6.0,0.0,0.0,9.0,4.0,8.0,1.0,1.0,9.0,8.0,0.0,8.0,4.0,7.0,1.0,4.0,4.0,1.0,6.0,9.0,7.0,5.0,0.0,8.0,3.0,5.0,3.0,0.0,3.0,4.0,5.0,4.0,1.0,1.0,0.0,8.0,8.0,1.0,4.0,1.0,2.0,8.0,6.0,4.0,4.0,5.0,7.0,8.0,5.0,6.0,8.0,2.0,9.0,6.0,5.0,9.0,3.0,8.0,1.0,7.0,6.0,3.0,9.0,6.0,7.0,5.0,4.0,2.0,7.0,1.0,5.0,7.0,7.0,8.0,7.0,8.0,8.0,6.0,0.0,9.0,7.0,6.0,7.0,3.0,1.0,7.0,2.0,8.0,4.0,4.0,3.0,1.0,1.0,5.0,0.0,4.0,65.76689243997916
9.0,3.0,7.0,3.0,4.0,1.0,2.0,9.0,5.0,8.0,3.0,0.0,4.0,3.0,7.0,7.0,7.0,6.0,8.0,1.0,2.0,5.0,2.0,7.0,9.0,9.0,8.0,1.0,2.0,6.0,1.0,4.0,9.0,6.0,7.0,0.0,4.0,7.0,5.0,9.0,5.0,4.0,2.0,7.0,2.0,9.0,7.0,9.0,6.0,2.0,6.0,1.0,8.0,6.0,8.0,2.0,2.0,8.0,4.0,8.0,6.0,3.0,6.0,8.0,6.0,6.0,3.0,9.0,8.0,7.0,2.0,4.0,8.0,2.0,0.0,1.0,4.0,0.0,4.0,1.0,8.0,4.0,6.0,2.0,3.0,3.0,9.0,2.0,8.0,3.0,9.0,4.0,1.0,5.0,2.0,3.0,1.0,2.0,5.0,5.0,-60.240774427626754
8.0,4.0,9.0,9.0,3.0,6.0,2.0,8.0,3.0,3.0,4.0,9.0,6.0,1.0,8.0,6.0,6.0,8.0,5.0,7.0,2.0,5.0,7.0,6.0,4.0,8.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,7.0,7.0,6.0,6.0,9.0,9.0,3.0,6.0,8.0,4.0,2.0,9.0,9.0,1.0,6.0,5.0,8.0,2.0,2.0,8.0,1.0,5.0,1.0,6.0,9.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,6.0,7.0,3.0,6.0,7.0,7.0,1.0,4.0,9.0,0.0,5.0,0.0,9.0,8.0,0.0,1.0,3.0,3.0,6.0,7.0,5.0,2.0,8.0,1.0,6.0,0.0,3.0,2.0,1.0,1.0,3.0,4.0,6.0,61.8929803583835
